what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1373467546485
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1373467546485
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1373467546485
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1373467546485
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1373467546485
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1373467546485
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1373467546485
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1373467546485
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1373467546485
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1373467546485
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1373467546486
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1373467546486
started,bundle,org.eclipse.gef,3.7.0.v20110407-2050,"org.eclipse.gef",1373467546486
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1373467546486
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1373467546486
started,bundle,org.eclipse.jgit,1.0.0.201106090707-r,"org.eclipse.jgit",1373467546486
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1373467546486
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1373467546486
started,bundle,org.eclipse.team.svn.core,0.7.9.I20110523-1700,"org.eclipse.team.svn.core",1373467546486
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110523-1700,"org.eclipse.team.svn.ui",1373467546486
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1373467546486
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1373467546486
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1373467546486
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1373467546486
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1373467546486
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1373467546486
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1373467546486
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1373467546486
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1373467546486
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1373467546486
started,bundle,org.topbraid.calais,4.1.0.v20121228-2356R,"org.topbraid.calais",1373467546486
started,bundle,org.topbraid.core,4.1.0.v20121228-2356R,"org.topbraid.core",1373467546486
started,bundle,org.topbraid.eclipsex,4.1.0.v20121228-2356R,"org.topbraid.eclipsex",1373467546486
started,bundle,org.topbraid.geo,4.1.0.v20121228-2356R,"org.topbraid.geo",1373467546486
started,bundle,org.topbraid.javax,4.1.0.v20121228-2356R,"org.topbraid.javax",1373467546486
started,bundle,org.topbraid.javax.shared,4.1.0.v20121228-2356R,"org.topbraid.javax.shared",1373467546486
started,bundle,org.topbraid.jenax,4.1.0.v20121228-2356R,"org.topbraid.jenax",1373467546486
started,bundle,org.topbraid.lib.jxl,4.1.0.v20121228-2356R,"org.topbraid.lib.jxl",1373467546486
started,bundle,org.topbraid.lib.sesame,4.1.0.v20121228-2356R,"org.topbraid.lib.sesame",1373467546486
started,bundle,org.topbraid.oracle,4.1.0.v20121228-2356R,"org.topbraid.oracle",1373467546487
started,bundle,org.topbraid.owl,4.1.0.v20121228-2356R,"org.topbraid.owl",1373467546487
started,bundle,org.topbraid.owlim,4.1.0.v20121228-2356R,"org.topbraid.owlim",1373467546487
started,bundle,org.topbraid.partialimport,4.1.0.v20121228-2356R,"org.topbraid.partialimport",1373467546487
started,bundle,org.topbraid.sdb,4.1.0.v20121228-2356R,"org.topbraid.sdb",1373467546487
started,bundle,org.topbraid.sesame2,4.1.0.v20121228-2356R,"org.topbraid.sesame2",1373467546487
started,bundle,org.topbraid.sparql,4.1.0.v20121228-2356R,"org.topbraid.sparql",1373467546487
started,bundle,org.topbraid.sparqlmotion,4.1.0.v20121228-2356R,"org.topbraid.sparqlmotion",1373467546487
started,bundle,org.topbraid.sparqlmotion.functions,4.1.0.v20121228-2356R,"org.topbraid.sparqlmotion.functions",1373467546487
started,bundle,org.topbraid.spellcheck,4.1.0.v20121228-2356R,"org.topbraid.spellcheck",1373467546487
started,bundle,org.topbraid.spin,4.1.0.v20121228-2356R,"org.topbraid.spin",1373467546487
started,bundle,org.topbraid.spin.functions,4.1.0.v20121228-2356R,"org.topbraid.spin.functions",1373467546487
started,bundle,org.topbraid.spintb,4.1.0.v20121228-2356R,"org.topbraid.spintb",1373467546487
started,bundle,org.topbraid.spinx,4.1.0.v20121228-2356R,"org.topbraid.spinx",1373467546487
started,bundle,org.topbraid.tables,4.1.0.v20121228-2356R,"org.topbraid.tables",1373467546487
started,bundle,org.topbraid.tdb,4.1.0.v20121228-2356R,"org.topbraid.tdb",1373467546487
started,bundle,org.topbraid.turtle,4.1.0.v20121228-2356R,"org.topbraid.turtle",1373467546487
started,bundle,org.topbraidcomposer.application,4.1.0.v20121228-2356R,"org.topbraidcomposer.application",1373467546487
started,bundle,org.topbraidcomposer.core,4.1.0.v20121228-2356R,"org.topbraidcomposer.core",1373467546487
started,bundle,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors",1373467546487
started,bundle,org.topbraidcomposer.editors.forms,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.forms",1373467546487
started,bundle,org.topbraidcomposer.editors.forms.layout,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.forms.layout",1373467546487
started,bundle,org.topbraidcomposer.editors.ontology,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ontology",1373467546487
started,bundle,org.topbraidcomposer.editors.rdfsource,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.rdfsource",1373467546487
started,bundle,org.topbraidcomposer.forms,4.1.0.v20121228-2356R,"org.topbraidcomposer.forms",1373467546487
started,bundle,org.topbraidcomposer.gef,4.1.0.v20121228-2356R,"org.topbraidcomposer.gef",1373467546487
started,bundle,org.topbraidcomposer.gef.diagram,4.1.0.v20121228-2356R,"org.topbraidcomposer.gef.diagram",1373467546487
started,bundle,org.topbraidcomposer.gef.graph,4.1.0.v20121228-2356R,"org.topbraidcomposer.gef.graph",1373467546487
started,bundle,org.topbraidcomposer.inference,4.1.0.v20121228-2356R,"org.topbraidcomposer.inference",1373467546487
started,bundle,org.topbraidcomposer.markers,4.1.0.v20121228-2356R,"org.topbraidcomposer.markers",1373467546487
started,bundle,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation",1373467546487
started,bundle,org.topbraidcomposer.oracle,4.1.0.v20121228-2356R,"org.topbraidcomposer.oracle",1373467546487
started,bundle,org.topbraidcomposer.securestorage,4.1.0.v20121228-2356R,"org.topbraidcomposer.securestorage",1373467546487
started,bundle,org.topbraidcomposer.sparql,4.1.0.v20121228-2356R,"org.topbraidcomposer.sparql",1373467546487
started,bundle,org.topbraidcomposer.spin,4.1.0.v20121228-2356R,"org.topbraidcomposer.spin",1373467546487
started,bundle,org.topbraidcomposer.spin.box,4.1.0.v20121228-2356R,"org.topbraidcomposer.spin.box",1373467546487
started,bundle,org.topbraidcomposer.spreadsheets,4.1.0.v20121228-2356R,"org.topbraidcomposer.spreadsheets",1373467546487
started,bundle,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui",1373467546487
started,bundle,org.topbraidcomposer.widgets,4.1.0.v20121228-2356R,"org.topbraidcomposer.widgets",1373467546487
started,bundle,org.topbraidcomposer.xsdcalendar,4.1.0.v20121228-2356R,"org.topbraidcomposer.xsdcalendar",1373467546487
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110523-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1373467546487
os,sysinfo,,,"win32",1373467546489
arch,sysinfo,,,"x86_64",1373467546489
ws,sysinfo,,,"win32",1373467546489
locale,sysinfo,,,"en_US",1373467546489
processors,sysinfo,,,"4",1373467546489
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1373467546489
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1373467546489
java.specification.name,sysinfo,,,"Java Platform API Specification",1373467546489
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1373467546489
java.specification.version,sysinfo,,,"1.6",1373467546489
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1373467546489
java.version,sysinfo,,,"1.6.0_26",1373467546489
java.vm.info,sysinfo,,,"mixed mode",1373467546489
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1373467546489
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373467546489
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1373467546489
java.vm.specification.version,sysinfo,,,"1.0",1373467546489
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1373467546489
java.vm.version,sysinfo,,,"20.1-b02",1373467546489
started,bundle,org.topbraidcomposer.usagedata.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.usagedata.ui",1373467546492
starting,topbraid,org.topbraidcomposer.gef,4.1.0.v20121228-2356R,"",1373467546493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373467550778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373467768876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373467778754
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373467799114
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1373467799134
started,bundle,org.topbraidcomposer.operations,4.1.0.v20121228-2356R,"org.topbraidcomposer.operations",1373467830217
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373467836283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373468772315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373468779422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373468781607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373469947171
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.propertiestree",1373469956937
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373469984230
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470022927
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1373470033995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470036382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470048201
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470057942
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470058837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1373470060028
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470066454
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470067261
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470070282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470076055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1373470077522
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470081365
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470082324
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470108897
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470111726
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.propertiestree",1373470120510
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470124772
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470125806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470157660
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470355372
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1373470359278
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470380106
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470381733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470459274
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470537609
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470621580
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470623085
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470646470
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470648009
activated,view,org.topbraidcomposer.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.ui.views.basket",1373470657164
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470658493
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1373470671732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470681483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373470725415
activated,editor,org.topbraidcomposer.editors,4.1.0.v20121228-2356R,"org.topbraidcomposer.editors.ResourceEditor",1373470750785
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1373470760174
activated,view,org.topbraidcomposer.navigation,4.1.0.v20121228-2356R,"org.topbraidcomposer.navigation.subclassestree",1373470800915
